text,label
Pelayanan cepat dan ramah sekali,positive
Makanannya enak dan porsinya pas,positive
Harga murah dan kualitas sangat baik,positive
Tempatnya bersih dan nyaman,positive
Saya puas dengan layanan di restoran ini,positive
Aplikasi mudah digunakan dan tampilannya bagus,positive
Produk sesuai deskripsi dan pengiriman cepat,positive
Sangat direkomendasikan untuk keluarga,positive
Layanan pelanggan cepat tanggap,positive
Tempat parkir luas dan aman,positive
Pelayanannya lama dan tidak ramah,negative
Makanan dingin dan tidak sesuai pesanan,negative
Harga terlalu mahal untuk kualitas seperti ini,negative
Karyawan cuek dan tidak membantu,negative
Saya kecewa dengan pelayanan di sini,negative
Aplikasi sering error dan lambat,negative
Produk rusak saat diterima,negative
"Sangat mengecewakan, tidak akan beli lagi",negative
Layanan pelanggan tidak responsif,negative
Tempatnya kotor dan berantakan,negative
Minumannya hambar dan terlalu manis,negative
Kualitas produk buruk sekali,negative
Saya suka rasa dan pelayanannya,positive
"Tempat makan favorit saya, selalu puas",positive
Layanan sangat memuaskan,positive
Kualitas makanan menurun dibanding dulu,negative
Harga sebanding dengan rasa,positive
Tidak puas dengan pelayanan restoran ini,negative
Pelayan kurang sopan dan cuek,negative
Sangat puas dengan pelayanan cepatnya,positive
Menu beragam dan rasanya lezat,positive
Pesanan datang terlambat,negative
Makanannya enak tapi pelayanannya lambat,negative
Aplikasinya ringan dan tidak ada bug,positive
Pengiriman cepat tapi packing kurang rapi,negative
"Barang sesuai ekspektasi, bagus banget",positive
Kurir tidak sopan dan telat,negative
Harga mahal tapi kualitas sesuai,positive
Restoran ramai tapi pelayanan cepat,positive
Makanan tidak enak dan terlalu asin,negative
Sangat membantu pekerjaan saya,positive
Server sering down dan susah login,negative
Tempat makan nyaman untuk keluarga,positive
"Pengalaman buruk, tidak direkomendasikan",negative
Sistem pembayaran sering error,negative
Aplikasi sangat berguna dan efisien,positive
Respon admin sangat cepat dan membantu,positive
Rasanya lezat dan pelayanan luar biasa,positive
"Pelayanan buruk, tidak profesional",negative
